tipo_operacion,importe,hora,dia_semana,pais_destino,antiguedad_cliente,num_transacciones_24h,importe_promedio_historico,ratio_importe_vs_historico,canal,es_fraude
transferencia,150.92,13,1,US,29,0,172.25,0.8762,sucursal,0
pago_online,102.91,22,6,domestic,67,1,120.2,0.8562,app_movil,0
pago_online,31.98,18,4,domestic,52,3,54.12,0.5909,app_movil,0
retiro_cajero,244.44,14,0,domestic,16,2,227.76,1.0733,web,0
pago_online,94.91,8,5,domestic,67,0,104.59,0.9075,web,0
pago_online,60.75,15,1,domestic,60,0,139.81,0.4345,web,0
transferencia,50.43,13,1,domestic,24,1,42.58,1.1842,web,0
transferencia,115.8,22,4,Africa,14,1,77.2,1.5,app_movil,1
pago_online,345.5,14,5,LATAM,13,2,274.16,1.2602,app_movil,0
transferencia,313.26,17,3,Africa,49,2,333.06,0.9405,app_movil,0
transferencia,130.13,6,6,domestic,36,0,255.05,0.5102,app_movil,0
transferencia,32.44,19,4,domestic,74,0,38.32,0.8466,sucursal,0
retiro_cajero,193.92,15,5,LATAM,106,2,167.12,1.1604,sucursal,0
transferencia,47.58,22,2,domestic,49,2,38.88,1.2239,sucursal,0
compra_pos,56.7,0,4,EU,21,2,74.95,0.7564,app_movil,0
pago_online,75.36,14,4,domestic,17,0,123.6,0.6097,web,0
transferencia,64.35,23,0,LATAM,50,1,106.15,0.6062,web,0
retiro_cajero,26.09,20,0,domestic,106,0,54.58,0.4779,web,0
compra_pos,55.52,16,6,domestic,26,1,65.74,0.8446,app_movil,0
pago_online,301.35,11,0,US,45,3,244.55,1.2322,app_movil,0
transferencia_internacional,217.99,12,1,domestic,90,3,243.86,0.8939,cajero,0
pago_online,333.28,23,2,Africa,109,1,253.65,1.314,app_movil,0
retiro_cajero,62.01,21,0,domestic,52,1,57.94,1.0702,web,0
pago_online,168.19,13,2,US,37,3,134.35,1.2518,sucursal,0
transferencia,222.91,12,3,EU,98,0,288.81,0.7718,app_movil,0
transferencia_internacional,41.8,19,2,domestic,74,0,34.37,1.2163,app_movil,0
compra_pos,534.01,17,4,domestic,115,2,375.41,1.4225,web,0
retiro_cajero,53.48,10,0,domestic,36,2,59.45,0.8996,app_movil,0
transferencia,83.56,15,2,EU,71,3,88.52,0.944,app_movil,0
transferencia,283.05,13,6,US,63,2,186.8,1.5152,web,0
compra_pos,194.24,12,2,domestic,77,3,197.27,0.9846,sucursal,0
transferencia,91.2,8,5,domestic,46,1,89.65,1.0173,sucursal,0
retiro_cajero,96.23,11,1,domestic,83,5,79.47,1.2109,web,0
retiro_cajero,427.3,20,0,domestic,56,1,258.9,1.6504,sucursal,0
transferencia_internacional,102.2,18,3,domestic,18,1,89.11,1.1468,sucursal,0
pago_online,71.58,10,4,EU,81,0,104.31,0.6862,app_movil,0
transferencia_internacional,84.23,5,6,Africa,0,3,24.98,3.3719,web,1
transferencia,93.07,19,6,domestic,51,1,77.86,1.1954,cajero,0
transferencia,9.14,19,6,domestic,87,0,16.15,0.5661,cajero,0
transferencia,233.36,7,3,domestic,61,3,229.61,1.0163,web,0
pago_online,144.43,20,1,domestic,76,1,101.82,1.4185,sucursal,0
pago_online,303.09,7,3,LATAM,51,1,376.48,0.8051,web,0
transferencia_internacional,123.44,16,0,domestic,9,1,108.35,1.1393,cajero,0
pago_online,840.12,14,2,Asia,36,3,889.05,0.945,cajero,0
transferencia,86.84,20,4,domestic,82,0,94.19,0.9219,web,0
transferencia,97.75,8,5,domestic,85,0,103.85,0.9412,app_movil,0
transferencia,109.64,11,3,domestic,31,1,99.26,1.1046,app_movil,0
pago_online,69.07,7,2,domestic,121,1,69.89,0.9883,app_movil,0
compra_pos,80.05,13,5,domestic,76,2,119.53,0.6697,sucursal,0
pago_online,67.17,17,1,domestic,10,2,46.21,1.4536,sucursal,0
pago_online,99.6,9,2,Asia,68,0,103.72,0.9603,web,0
pago_online,43.8,8,0,domestic,87,3,42.39,1.0333,web,0
pago_online,68.8,9,4,domestic,36,1,73.21,0.9397,cajero,0
transferencia,68.19,11,0,domestic,30,3,78.16,0.8725,app_movil,0
transferencia,97.93,14,1,US,34,2,59.57,1.644,cajero,0
transferencia_internacional,248.55,1,6,Africa,12,8,41.03,6.0579,web,1
pago_online,19.75,21,5,domestic,34,3,22.07,0.8947,web,0
transferencia,565.49,8,5,domestic,90,2,563.72,1.0031,app_movil,0
transferencia,35.22,10,4,LATAM,28,1,34.03,1.0349,app_movil,0
transferencia,82.04,13,5,domestic,37,2,59.46,1.3797,cajero,0
pago_online,101.12,10,4,domestic,37,2,65.72,1.5386,web,0
transferencia,76.14,10,2,domestic,34,3,59.14,1.2875,web,0
compra_pos,80.38,8,6,domestic,175,1,85.98,0.9348,web,0
compra_pos,171.61,18,2,US,17,0,122.91,1.3962,cajero,0
pago_online,30.42,17,5,domestic,20,0,33.47,0.9089,app_movil,0
retiro_cajero,29.44,9,2,domestic,22,1,28.85,1.0203,web,0
transferencia,63.0,12,3,domestic,93,0,68.06,0.9256,sucursal,0
transferencia,220.11,14,0,Asia,49,1,261.32,0.8423,web,0
transferencia,172.93,8,5,EU,58,3,334.48,0.517,sucursal,0
compra_pos,141.63,15,0,domestic,92,1,161.52,0.8769,app_movil,0
transferencia_internacional,192.93,0,6,domestic,53,4,193.9,0.995,app_movil,0
compra_pos,19.65,11,4,domestic,55,0,24.95,0.7874,sucursal,0
transferencia,57.05,12,3,domestic,31,1,82.9,0.6882,web,0
compra_pos,210.21,16,2,domestic,142,2,231.52,0.908,web,0
transferencia_internacional,185.66,14,4,domestic,61,5,283.32,0.6553,web,0
compra_pos,41.09,9,4,domestic,8,1,29.79,1.3793,app_movil,0
transferencia,191.9,17,4,domestic,106,2,195.22,0.983,web,0
retiro_cajero,84.78,8,2,US,35,0,112.51,0.7535,sucursal,0
compra_pos,48.95,18,3,domestic,46,0,86.68,0.5647,app_movil,0
pago_online,61.84,13,3,domestic,25,3,81.61,0.7577,cajero,0
transferencia,155.24,10,6,Africa,32,1,172.63,0.8993,web,0
transferencia,100.42,15,1,domestic,19,0,93.05,1.0792,app_movil,0
transferencia,21.16,12,2,US,66,3,46.14,0.4587,web,0
retiro_cajero,64.67,13,4,domestic,43,2,52.19,1.2392,app_movil,0
pago_online,47.53,18,4,EU,57,1,41.84,1.136,app_movil,0
compra_pos,192.16,7,4,domestic,27,4,147.74,1.3007,cajero,0
