id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
3967327842,20140502T000000,778000,2,2.0,2193,4894,1.0,0,0,5,6,2193,0,1998,0,98034,47.7386,-122.2372,1743,5393
3489768049,20140502T000000,620000,4,3.0,2487,7115,2.0,0,0,3,6,2487,0,1955,0,98178,47.5971,-121.4765,2693,10341
7017324576,20140502T000000,634000,3,2.75,2048,4065,1.0,0,1,2,6,2048,0,1998,0,98051,47.2208,-121.9777,1595,5306
8278918052,20140502T000000,892000,4,3.5,2006,13625,1.0,0,0,3,9,1785,221,2000,0,98107,47.7133,-121.5374,1487,13349
3550791376,20140502T000000,1223000,4,3.25,2743,11510,1.5,0,0,1,9,2743,0,1947,0,98072,47.202,-121.6514,3059,12865
3713526065,20140502T000000,885000,3,2.75,1989,2684,1.0,0,0,2,6,1989,0,1915,0,98047,47.4993,-122.4459,2091,1415
9949537108,20140502T000000,1053000,4,3.75,2197,520,2.0,0,0,4,7,1551,646,2006,0,98106,47.4734,-121.5872,2321,725
2837659695,20140502T000000,875000,5,3.75,2353,9764,1.0,0,0,3,8,1542,811,1981,0,98072,47.6873,-122.4162,1718,14015
2278957501,20140502T000000,885000,4,3.25,2160,4598,1.0,0,0,3,8,1776,384,1958,0,98119,47.5916,-122.2983,1812,3399
3113488007,20140502T000000,1608000,4,3.5,2176,4839,1.0,0,0,5,8,1757,419,1955,2007,98045,47.6979,-121.9988,2824,6787
8474516067,20140502T000000,1340000,3,2.5,1742,6666,1.0,0,0,3,8,1742,0,1984,0,98039,47.3107,-121.4689,2210,6814
2536434012,20140502T000000,1332000,4,3.0,2483,3294,2.0,0,0,3,9,2483,0,1930,0,98118,47.5844,-121.4009,2916,2362
2791903078,20140502T000000,2476000,6,4.0,3353,4696,1.0,0,0,3,7,3353,0,2015,0,98056,47.4873,-121.5885,3944,4991
8106973909,20140502T000000,782000,2,2.25,1613,5852,1.5,0,0,4,7,1613,0,1963,0,98105,47.503,-121.6835,1877,8631
9538374732,20140502T000000,480000,3,2.25,1736,8151,2.0,0,0,3,5,1580,156,1938,0,98178,47.3127,-122.1312,2067,6294
4289927555,20140502T000000,1397000,4,3.25,2629,3014,1.0,0,1,3,8,2301,328,1972,0,98019,47.5209,-121.4686,1920,2946
1120181579,20140502T000000,1123000,6,4.5,2704,4199,1.5,0,0,3,7,2704,0,1975,0,98075,47.4797,-121.4944,2310,5991
