loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
4850, 36 months,7.35,150.53,B,B3,2 years,RENT,77009,Verified,debt_consolidation,21.3,0,18,0,19446,59.9,33,Fully Paid
6000, 36 months,24.47,236.88,F,F3,10+ years,MORTGAGE,172162,Not Verified,other,19.91,1,4,0,31416,3.2,15,Charged Off
17300, 36 months,18.21,627.26,D,D4,10+ years,MORTGAGE,95361,Not Verified,debt_consolidation,18.06,2,11,0,8387,62.0,25,Fully Paid
13525, 36 months,12.04,449.48,C,C3,10+ years,RENT,29624,Not Verified,home_improvement,17.25,0,13,0,42448,84.4,27,Current
3850, 60 months,7.27,76.73,A,A5,10+ years,RENT,48642,Source Verified,credit_card,14.81,2,7,0,3725,43.6,25,Fully Paid
16425, 36 months,5.0,492.27,A,A3,< 1 year,MORTGAGE,91191,Verified,home_improvement,29.73,0,16,0,24930,9.8,34,Fully Paid
10125, 36 months,7.08,313.0,A,A5,10+ years,MORTGAGE,43073,Source Verified,small_business,17.05,0,15,0,8608,24.0,24,Fully Paid
21925, 60 months,20.2,583.32,E,E3,7 years,RENT,112164,Verified,small_business,43.12,3,13,0,4614,53.9,33,Charged Off
26700, 36 months,13.99,912.41,C,C5,10+ years,MORTGAGE,63429,Not Verified,small_business,24.02,0,9,0,47748,49.3,25,Fully Paid
3200, 36 months,17.4,114.73,D,D3,10+ years,MORTGAGE,113511,Not Verified,debt_consolidation,17.19,0,9,3,30126,70.8,26,Fully Paid
16900, 36 months,5.0,506.51,A,A3,10+ years,RENT,117876,Verified,debt_consolidation,11.39,0,13,0,9202,81.3,28,Fully Paid
31075, 36 months,24.2,1222.43,F,F2,10+ years,RENT,72133,Verified,small_business,20.6,0,8,0,4224,79.3,23,Charged Off
11450, 60 months,22.18,317.41,E,E5,2 years,RENT,55231,Not Verified,debt_consolidation,11.78,1,15,0,5605,22.1,28,Fully Paid
16000, 60 months,6.22,310.96,B,B5,7 years,MORTGAGE,43423,Not Verified,debt_consolidation,12.64,0,13,0,2411,13.5,37,Fully Paid
11575, 36 months,10.95,378.68,B,B5,10+ years,MORTGAGE,30110,Not Verified,credit_card,14.22,0,8,0,2643,48.8,26,Charged Off
