id_solicitud,fecha_solicitud,edad,ingresos_anuales,situacion_laboral,antiguedad_empleo,estado_civil,num_dependientes,importe_solicitado,plazo_meses,tipo_credito,num_creditos_activos,ratio_endeudamiento,historial_pagos,tiene_aval,provincia,scoring_externo,color_favorito,signo_zodiaco,impago,col_ruido_1,col_ruido_2,col_ruido_3,col_ruido_4,col_ruido_5,col_ruido_6,col_ruido_7,col_ruido_8,col_ruido_9,col_ruido_10,col_ruido_11,col_ruido_12,col_ruido_13,col_ruido_14,col_ruido_15,col_ruido_16,col_ruido_17,col_ruido_18,col_ruido_19,col_ruido_20,col_ruido_21,col_ruido_22,col_ruido_23,col_ruido_24,col_ruido_25,col_ruido_26,col_ruido_27,col_ruido_28,col_ruido_29,col_ruido_30
4711,2022-07-28,44,31874.91,empleado,6.5,soltero,1,89301.39,360,hipoteca,1,0.152,bueno,0,Valencia,628.0,naranja,piscis,0,2.0,-0.4992,2.0,0.7193,2.3574,-0.2997,2.0,5.7951,3.0,-1.4146,-7.7284,0.4213,2.0055,4.0,0.3313,-0.6734,2.0,4.0,2.9386,-4.3592,-0.6582,0.757,-6.4796,5.0,4.0,3.904,-1.7031,-8.3592,0.7288,3.0
692,2023-08-04,54,30662.02,empleado,21.4,casado,1,106626.9,120,hipoteca,0,0.508,bueno,0,Murcia,583.0,negro,acuario,0,3.0,1.7196,9.0,0.4667,-1.5156,0.6249,3.0,6.7499,2.0,1.4169,-8.9506,0.1644,-0.1247,3.0,-0.3294,-0.6176,7.0,2.0,2.2978,-8.6742,-0.7584,-0.0039,-7.7154,5.0,3.0,2.6312,-0.7906,-8.0395,6.6868,3.0
66,2022-08-26,62,33120.39,empleado,30.8,divorciado,0,281807.59,300,hipoteca,2,0.412,regular,0,Zaragoza,712.0,naranja,geminis,0,2.0,0.6267,4.0,1.5243,4.0358,-0.2022,3.0,-3.4348,0.0,-0.1289,3.9316,-1.4362,2.3297,1.0,-0.0973,1.675,2.0,6.0,-9.1625,1.8934,0.7306,-0.8105,1.8035,1.0,3.0,-0.2385,-0.4578,2.239,5.4336,9.0
3427,2022-12-17,44,45309.52,empleado,12.5,soltero,0,152212.41,300,hipoteca,1,0.285,malo,0,Alicante,577.0,negro,virgo,0,5.0,-1.3917,2.0,-0.3704,4.0745,0.5091,2.0,2.7993,7.0,0.4287,-2.1357,1.061,0.1304,1.0,0.1404,0.0928,1.0,2.0,5.2414,-4.156,0.3372,-1.4,8.1604,5.0,4.0,4.895,1.7499,7.9552,3.1239,2.0
4821,2023-01-29,35,38408.59,empleado,15.9,casado,1,15508.45,60,personal,2,0.308,bueno,1,Bilbao,808.0,naranja,acuario,0,2.0,-1.921,2.0,-0.3607,-9.8903,0.5819,3.0,-2.9108,2.0,0.7412,5.1331,1.1368,-0.5276,4.0,0.0197,0.4049,3.0,4.0,7.1969,5.554,-0.9883,0.5069,-8.0422,5.0,0.0,7.1159,-0.4785,5.1998,-0.6242,4.0
394,2023-03-14,42,25029.45,empleado,17.3,soltero,2,19009.56,72,auto,2,0.173,bueno,0,Valencia,689.0,rojo,sagitario,0,3.0,0.6894,2.0,-0.6163,0.4685,-0.7327,3.0,9.6484,4.0,1.0358,4.9284,0.6693,-0.4407,1.0,0.9108,0.6693,3.0,0.0,-2.9701,1.7903,-0.8907,3.194,-3.0857,3.0,3.0,-1.3607,-1.0536,-2.7797,7.9328,2.0
1425,2022-07-06,42,22474.45,empleado,7.1,soltero,1,11661.52,24,personal,2,0.167,regular,0,Malaga,710.0,rojo,virgo,0,0.0,0.9637,4.0,0.3608,6.5223,-0.1619,5.0,0.1101,6.0,-0.6764,1.0588,-0.5099,0.8176,2.0,0.5102,-1.8291,1.0,3.0,-8.3259,-6.7526,2.0018,0.5744,-4.0304,5.0,1.0,4.6623,1.1791,1.7377,-8.3863,2.0
643,2023-09-16,43,38555.33,empleado,20.8,casado,3,8329.11,72,auto,1,0.424,regular,0,Las Palmas,560.0,rojo,virgo,0,4.0,0.2257,4.0,0.4908,-5.5306,0.7037,5.0,-9.516,1.0,-0.6727,-6.3221,0.8351,0.1691,1.0,-1.5099,0.8823,5.0,6.0,0.7947,-6.7621,1.3299,-0.5852,1.9802,4.0,1.0,-3.2538,0.1931,-0.1031,5.783,5.0
2836,2023-02-01,46,8059.23,desempleado,0.0,soltero,1,8000.35,12,tarjeta,2,0.048,bueno,1,Barcelona,626.0,verde,sagitario,0,3.0,0.0485,3.0,-0.2358,-0.5912,-0.1135,4.0,-1.6713,3.0,1.7854,3.4897,-0.8058,-0.5986,4.0,-0.7239,1.3884,2.0,3.0,-3.7498,6.6272,0.185,-0.5418,-6.067,2.0,3.0,-6.2838,-1.1067,-9.3213,9.5624,1.0
1739,2022-01-03,41,11272.23,empleado,15.7,casado,0,182464.15,180,hipoteca,1,0.165,bueno,1,Malaga,746.0,negro,acuario,0,4.0,-1.6145,2.0,-0.4124,4.2119,-0.9929,5.0,-1.0252,3.0,-1.3653,-1.9289,0.5386,1.3428,2.0,-1.0889,-0.3056,6.0,6.0,9.4432,2.0781,0.4907,0.3122,7.6794,2.0,5.0,2.9131,1.7926,2.3003,-9.0341,0.0
