id_transaccion,fecha,id_cliente,tipo_operacion,importe,moneda,pais_destino,saldo_posterior,canal,referencia
1,02-25-2024,1174,PAGO,2584.46,EUR,ES,16669.43,web,PAY-228053
2,05-25-2024,1056,TRANSF,590.38,EUR,CL,9228.08,app,TXN-293597
3,2023-09-09,1386,wire_transfer,1248.08,EUR,CO,15283.53,telefono,PAY-534369
4,2023-01-30,1101,Deposito,1145.86,BRL,PT,18416.97,cajero,TXN-546030
5,08-06-2024,1079,Pago,1682.76,COP,AR,14908.28,sucursal,PAY-482631
6,10/08/2024,1005,PAGO,2631.52,COP,MX,17353.95,sucursal,REF-560719
7,06-07-2023,1111,retiro,3390.84,EUR,BR,24994.04,cajero,REF-699236
8,09/04/2023,1213,RETIRO,2526.94,MXN,ES,17395.72,cajero,OP-367751
9,2023-06-19,1010,deposito,4671.56,USD,PT,12915.76,sucursal,OP-829177
10,08/11/2023,1261,Deposito,1596.66,JPY,AR,16985.49,app,TR-587639
11,10-28-2023,1154,Retiro,1582.81,GBP,CN,15534.11,telefono,REF-303561
12,04/01/2024,1212,pago,1309.15,BRL,GB,25281.79,cajero,REF-387909
13,2023-11-23,1295,retiro,2032.75,JPY,PT,15132.01,web,OP-411462
14,29/05/2024,1320,pago,2252.62,MXN,AR,6100.13,telefono,PAY-348771
15,2024-10-20,1192,RETIRO,7075.76,MXN,DE,21213.62,cajero,TXN-660304
16,09-27-2024,1262,Pago,907.9,MXN,US,16815.21,app,OP-336743
17,08-14-2023,1313,Retiro,989.91,USD,ES,28769.95,sucursal,TXN-222776
18,2023-03-23,1024,TRANSF,,BRL,US,9563.81,cajero,PAY-565093
19,08/08/2023,1013,pago,397.88,USD,ES,9479.35,web,OP-447059
20,2024-09-12,1336,Deposito,1663.18,COP,CL,15775.97,telefono,TR-673025
21,04-11-2023,1102,Transferencia,1580.33,EUR,CN,7753.63,telefono,TR-220345
22,2023-07-29,1020,PAGO,,GBP,PE,10077.74,app,PAY-756395
23,20/05/2023,1286,Deposito,3334.6,USD,PT,17632.33,sucursal,OP-465699
24,04-02-2023,1174,Transferencia,,GBP,US,21030.25,telefono,PAY-506869
25,2023-08-13,1099,pago,1725.38,USD,DE,10283.84,app,REF-291260
26,15/11/2024,1123,transferencia,496.34,GBP,JP,16552.73,cajero,OP-827824
27,05-17-2023,1259,Transferencia,7150.79,GBP,DE,25309.53,sucursal,TR-922002
28,2023-05-23,1067,wire_transfer,577.85,GBP,JP,14220.31,web,TR-934131
29,18/05/2024,1299,PAGO,729.34,BRL,CL,1898.0,cajero,TXN-778334
30,14/04/2023,1392,Pago,2426.04,USD,IT,26307.79,sucursal,TXN-985806
31,01/04/2024,1206,Retiro,258.09,COP,AR,16289.07,cajero,PAY-446283
32,10-20-2023,1367,deposito,1391.17,GBP,CL,12854.25,sucursal,TXN-659279
33,09-21-2023,1165,PAGO,5384.48,GBP,CL,11655.59,web,REF-899386
34,2023-11-02,1257,TRANSF,233.39,BRL,FR,14386.78,cajero,OP-131701
35,02-05-2023,1023,DEP,941.38,USD,CN,23684.19,telefono,OP-679193
36,2023-12-19,1002,TRANSF,149.2,GBP,BR,11367.75,cajero,OP-482662
37,2024-03-19,1268,wire_transfer,1210.02,EUR,ES,10441.52,sucursal,REF-847523
38,08/12/2024,1390,RETIRO,6208.67,EUR,US,18328.86,telefono,TR-293732
39,06-17-2024,1107,deposito,,JPY,PT,6763.29,web,REF-841259
40,2024-12-25,1305,Transferencia,384.59,BRL,DE,18993.61,sucursal,PAY-113830
41,08-17-2024,1349,DEP,2998.06,COP,IT,11138.14,telefono,TXN-667555
42,05/11/2023,1364,Pago,2335.82,GBP,JP,12085.19,cajero,TXN-150924
43,11-15-2023,1197,pago,591.25,BRL,PT,23741.93,sucursal,OP-858566
44,05-25-2024,1053,DEP,6615.65,COP,ES,13123.67,sucursal,TR-699608
45,2023-11-18,1290,RETIRO,2129.54,GBP,CO,23724.06,sucursal,PAY-592311
46,24/01/2024,1179,Transferencia,3096.34,COP,US,9550.26,sucursal,REF-619345
47,2023-06-13,1140,RETIRO,4933.43,JPY,IT,6749.37,sucursal,TR-252057
48,2024-12-01,1322,Pago,3408.35,MXN,MX,5265.57,telefono,REF-635452
49,07/12/2024,1050,Transferencia,535.95,USD,AR,15006.19,telefono,TR-244370
50,08-12-2024,1357,TRANSF,504.81,MXN,GB,27966.12,cajero,PAY-809199
51,22/11/2024,1377,retiro,6692.71,GBP,CN,10834.66,sucursal,PAY-162975
52,23/03/2023,1265,Transferencia,125.35,GBP,BR,22887.91,cajero,PAY-440341
53,31/05/2023,1266,Retiro,2057.58,JPY,FR,2955.6,sucursal,REF-770280
54,11-14-2024,1293,PAGO,617.62,EUR,AR,16738.57,app,TXN-308981
55,27/12/2023,1298,TRANSF,,MXN,PT,17323.48,sucursal,REF-730243
56,07-23-2024,1163,deposito,1648.91,EUR,US,4452.65,sucursal,TXN-747329
57,05-23-2023,1070,transferencia,,GBP,GB,29360.84,telefono,REF-181264
58,08-26-2024,1098,Pago,1048.67,JPY,ES,8703.23,web,TXN-414390
59,17/06/2024,1151,pago,352.1,MXN,PT,19684.63,cajero,PAY-716647
60,05-12-2024,1334,pago,7947.38,JPY,JP,9134.83,sucursal,REF-151583
61,2024-11-03,1376,PAGO,586.76,JPY,US,9815.35,cajero,TXN-289794
62,02-12-2023,1043,deposito,587.95,GBP,CL,17384.32,telefono,REF-288266
63,25/08/2024,1125,wire_transfer,,GBP,JP,16856.3,sucursal,TR-631259
64,04-27-2024,1094,wire_transfer,2137.15,BRL,IT,23689.9,cajero,PAY-409791
65,2023-01-17,1184,Retiro,7033.37,BRL,MX,7862.22,app,OP-164958
66,2023-02-19,1075,Retiro,2154.31,COP,US,20835.41,sucursal,TXN-921255
67,2024-06-22,1254,PAGO,2180.62,USD,GB,15425.64,sucursal,PAY-353715
68,2023-08-23,1147,Transferencia,1185.34,MXN,GB,13513.13,sucursal,PAY-886996
69,20/04/2024,1118,Transferencia,131.64,BRL,MX,7104.65,app,TXN-348705
70,13/04/2023,1083,retiro,1133.02,EUR,CL,18404.72,telefono,PAY-697067
71,2023-08-07,1159,transferencia,1384.87,MXN,BR,13236.01,telefono,PAY-301887
72,08-23-2023,1352,wire_transfer,383.11,USD,IT,12989.96,sucursal,PAY-243728
73,01-13-2023,1031,transferencia,3155.59,MXN,PT,5992.36,sucursal,TXN-927259
74,07-06-2024,1307,Deposito,4575.84,EUR,MX,19047.18,telefono,REF-554416
75,05-27-2023,1200,Retiro,2383.92,USD,US,8645.94,sucursal,TXN-213019
76,2023-10-11,1304,RETIRO,490.84,MXN,MX,13968.73,cajero,OP-695430
77,23/06/2024,1062,PAGO,5387.23,BRL,CL,9462.42,web,REF-270259
78,07/06/2024,1110,retiro,3453.94,MXN,GB,15904.58,web,REF-248324
79,28/09/2023,1340,retiro,1463.89,COP,IT,29719.5,cajero,TR-483128
80,2023-09-04,1118,TRANSF,9460.26,GBP,BR,13304.68,app,TR-715410
81,2024-03-16,1281,TRANSF,267.65,BRL,CL,991.33,sucursal,PAY-515526
82,04-23-2023,1029,RETIRO,260.74,EUR,JP,15000.71,telefono,TR-390179
83,01-16-2023,1240,deposito,3761.37,USD,ES,19025.38,app,REF-136930
84,05-05-2023,1359,Pago,724.06,GBP,CO,14842.89,cajero,OP-697254
85,12-23-2023,1088,Deposito,49.13,GBP,PE,10546.82,cajero,TR-779130
86,02/07/2024,1160,pago,1169.53,GBP,CO,12822.49,cajero,PAY-435735
87,08-03-2024,1284,retiro,1306.88,COP,CN,9874.76,telefono,PAY-383503
88,27/03/2023,1247,PAGO,2164.11,EUR,FR,15150.69,telefono,TXN-641365
89,08-04-2023,1065,PAGO,2597.08,MXN,GB,21782.08,web,REF-604936
90,17/03/2023,1078,retiro,11176.57,BRL,ES,28074.27,cajero,TXN-931266
91,04/02/2023,1183,transferencia,9459.94,BRL,PE,24389.49,sucursal,PAY-577219
