Date,AAPL,AMZN,GOOGL,MSFT,SAN.MC
2020-01-31,74.61,100.44,71.1,161.26,2.85
2020-02-03,74.4,100.21,73.57,165.19,2.86
2020-02-04,76.86,102.48,71.73,170.63,2.96
2020-02-05,77.49,101.99,71.76,170.42,3.04
2020-02-06,78.39,102.51,73.25,173.96,3.07
2020-02-07,77.33,103.96,73.4,174.2,3.1
2020-02-10,77.69,106.7,74.87,178.76,3.08
2020-02-11,77.23,107.54,74.94,174.72,3.11
2020-02-12,79.06,108.0,75.36,174.98,3.17
2020-02-13,78.5,107.49,75.1,174.03,3.16
2020-02-14,78.52,106.74,75.37,175.59,3.15
2020-02-17,78.52,106.74,75.37,175.59,3.17
2020-02-18,77.08,107.78,75.4,177.37,3.13
2020-02-19,78.19,108.51,75.67,177.9,3.14
2020-02-20,77.39,107.65,75.28,175.18,3.09
2020-02-21,75.64,104.8,73.62,169.64,3.03
2020-02-24,72.05,100.46,70.46,162.33,2.91
2020-02-25,69.61,98.64,68.8,159.65,2.82
2020-02-26,70.71,98.98,69.0,161.65,2.85
2020-02-27,66.09,94.21,65.25,150.26,2.74
2020-02-28,66.05,94.19,66.46,153.89,2.67
2020-03-02,72.2,97.7,68.8,164.13,2.61
2020-03-03,69.91,95.45,66.38,156.27,2.6
2020-03-04,73.15,98.79,68.56,162.01,2.64
2020-03-05,70.78,96.2,65.25,157.94,2.51
2020-03-06,69.84,95.05,64.3,153.48,2.44
2020-03-09,64.31,90.03,60.33,143.07,2.15
2020-03-10,68.95,94.59,63.28,152.86,2.13
2020-03-11,66.55,91.04,60.09,145.93,2.2
2020-03-12,59.98,83.83,55.16,132.09,1.83
2020-03-13,67.16,89.25,60.26,150.87,1.81
2020-03-16,58.52,84.46,53.25,128.64,1.62
2020-03-17,61.1,90.39,55.48,139.23,1.75
2020-03-18,59.6,91.5,54.15,133.37,1.64
2020-03-19,59.15,94.05,55.17,135.56,1.64
2020-03-20,55.39,92.3,53.01,130.47,1.69
2020-03-23,54.21,95.14,52.31,129.17,1.7
2020-03-24,59.65,97.0,56.08,140.91,1.9
2020-03-25,59.32,94.29,54.67,139.56,1.98
2020-03-26,62.45,97.77,57.71,148.29,1.97
2020-03-27,59.86,95.0,55.1,142.2,1.86
2020-03-30,61.57,98.2,56.89,152.2,1.78
2020-03-31,61.44,97.49,57.66,149.81,1.78
2020-04-01,58.21,95.39,54.69,144.49,1.72
2020-04-02,59.18,95.94,55.43,147.48,1.73
2020-04-03,58.33,95.33,54.23,146.12,1.68
2020-04-06,63.42,99.88,58.72,156.99,1.79
2020-04-07,62.69,100.58,58.68,155.3,1.8
2020-04-08,64.29,102.15,59.9,156.86,1.78
2020-04-09,64.75,102.14,59.88,156.87,1.74
2020-04-13,66.02,108.44,60.07,157.22,1.74
2020-04-14,69.36,114.17,62.79,165.0,1.7
2020-04-15,68.73,115.38,62.39,163.27,1.61
2020-04-16,69.27,120.41,62.4,168.17,1.58
2020-04-17,68.33,118.75,63.47,169.65,1.57
2020-04-20,66.91,119.68,62.58,166.29,1.57
2020-04-21,64.85,116.41,60.15,159.41,1.5
2020-04-22,66.71,118.17,62.45,164.83,1.54
2020-04-23,66.45,119.97,63.08,162.83,1.6
2020-04-24,68.37,120.51,63.35,165.81,1.53
2020-04-27,68.42,118.8,63.07,165.33,1.58
2020-04-28,67.31,115.7,61.17,161.3,1.66
2020-04-29,69.52,118.64,66.61,168.54,1.74
2020-04-30,70.99,123.7,66.83,170.23,1.64
2020-05-01,69.85,114.3,65.37,165.83,1.64
2020-05-04,70.84,115.8,65.65,169.88,1.57
2020-05-05,71.9,115.89,66.95,171.71,1.6
2020-05-06,72.64,117.56,66.77,173.4,1.55
2020-05-07,73.39,118.38,67.95,174.4,1.57
2020-05-08,75.14,118.98,68.7,175.43,1.6
2020-05-11,76.32,120.45,69.65,177.39,1.56
2020-05-12,75.45,117.85,68.24,173.37,1.57
2020-05-13,74.54,118.4,66.91,170.75,1.5
2020-05-14,75.0,119.44,67.33,171.49,1.5
2020-05-15,74.55,120.49,68.14,173.98,1.47
2020-05-18,76.31,121.31,68.74,175.65,1.55
2020-05-19,75.87,122.47,68.2,174.43,1.46
2020-05-20,77.34,124.9,69.93,176.85,1.51
2020-05-21,76.77,122.34,69.81,174.73,1.49
2020-05-22,77.26,121.84,70.13,174.8,1.52
2020-05-25,77.26,121.84,70.13,174.8,1.55
2020-05-26,76.74,121.09,70.54,172.95,1.65
2020-05-27,77.07,120.52,70.48,173.18,1.73
2020-05-28,77.11,120.06,70.38,172.79,1.71
2020-05-29,77.03,122.12,71.14,174.56,1.64
2020-06-01,77.98,123.55,71.21,174.16,1.66
2020-06-02,78.34,123.62,71.57,176.14,1.74
2020-06-03,78.77,123.92,71.42,176.57,1.79
2020-06-04,78.09,123.03,70.18,174.24,1.82
2020-06-05,80.32,124.15,71.46,178.32,2.03
2020-06-08,80.79,126.2,71.86,179.42,2.05
2020-06-09,83.34,130.04,72.06,180.79,2.01
2020-06-10,85.49,132.37,72.69,187.5,1.95
2020-06-11,81.38,127.9,69.57,177.43,1.77
2020-06-12,82.08,127.25,70.12,178.83,1.78
2020-06-15,83.1,128.63,70.5,179.98,1.73
2020-06-16,85.3,130.76,71.78,184.39,1.81
2020-06-17,85.18,132.05,72.08,185.02,1.8
2020-06-18,85.22,132.7,71.17,187.01,1.75
2020-06-19,84.73,133.75,70.7,185.89,1.73
2020-06-22,86.95,135.69,71.99,191.05,1.71
2020-06-23,88.8,138.22,72.65,192.33,1.79
2020-06-24,87.24,136.72,71.1,188.45,1.71
2020-06-25,88.39,137.73,71.51,190.83,1.76
2020-06-26,85.68,134.64,67.62,187.01,1.7
2020-06-29,87.65,134.02,69.33,189.02,1.77
2020-06-30,88.38,137.94,70.37,193.85,1.74
2020-07-01,88.22,143.93,71.56,194.99,1.72
2020-07-02,88.22,144.51,72.95,196.47,1.83
2020-07-03,88.22,144.51,72.95,196.47,1.79
2020-07-06,90.58,152.85,74.42,200.7,1.88
2020-07-07,90.3,150.01,73.94,198.37,1.82
2020-07-08,92.4,154.06,74.62,202.73,1.78
2020-07-09,92.8,159.13,75.36,204.15,1.74
2020-07-10,92.96,160.0,76.37,203.53,1.78
2020-07-13,92.53,155.2,75.04,197.24,1.8
2020-07-14,94.06,154.2,75.47,198.46,1.78
2020-07-15,94.71,150.44,75.28,198.17,1.82
2020-07-16,93.54,149.99,75.18,194.24,1.81
2020-07-17,93.35,148.1,75.27,193.25,1.78
2020-07-20,95.32,159.84,77.61,201.56,1.77
2020-07-21,94.0,156.91,77.21,198.85,1.76
2020-07-22,94.27,155.0,77.66,201.7,1.73
2020-07-23,89.98,149.33,75.27,192.93,1.7
2020-07-24,89.76,150.45,74.84,191.75,1.71
2020-07-27,91.88,152.76,75.9,194.18,1.67
2020-07-28,90.37,150.02,74.62,192.43,1.69
2020-07-29,92.11,151.68,75.6,194.38,1.61
2020-07-30,93.22,152.59,76.34,194.23,1.52
2020-07-31,102.98,158.23,73.84,195.28,1.45
2020-08-03,105.57,155.59,73.58,206.27,1.49
2020-08-04,106.28,156.94,73.11,203.17,1.54
2020-08-05,106.66,160.25,73.4,202.84,1.52
2020-08-06,110.39,161.25,74.68,206.08,1.5
2020-08-07,107.88,158.37,74.36,202.4,1.47
2020-08-10,109.44,157.41,74.28,198.37,1.52
2020-08-11,106.19,154.03,73.47,193.73,1.61
2020-08-12,109.72,158.11,74.8,199.26,1.6
2020-08-13,111.66,158.05,75.26,198.8,1.56
2020-08-14,111.56,157.4,74.67,198.99,1.55
2020-08-17,111.27,159.12,75.24,200.3,1.52
2020-08-18,112.2,165.62,77.21,201.46,1.51
2020-08-19,112.34,163.02,76.65,200.23,1.55
2020-08-20,114.83,164.87,78.22,204.89,1.49
2020-08-21,120.75,164.24,78.19,203.4,1.47
2020-08-24,122.19,165.37,78.66,204.04,1.52
2020-08-25,121.19,167.32,79.69,206.7,1.52
2020-08-26,122.84,172.09,81.59,211.17,1.54
2020-08-27,121.37,170.0,80.82,216.35,1.52
2020-08-28,121.17,170.09,81.36,218.58,1.57
2020-08-31,125.28,172.55,80.87,215.35,1.49
2020-09-01,130.27,174.96,82.13,217.01,1.5
2020-09-02,127.57,176.57,85.23,221.19,1.46
2020-09-03,117.36,168.4,80.86,207.49,1.48
2020-09-04,117.44,164.73,78.47,204.58,1.53
2020-09-07,117.44,164.73,78.47,204.58,1.53
2020-09-08,109.53,157.49,75.61,193.51,1.49
2020-09-09,113.9,163.43,76.78,201.75,1.51
2020-09-10,110.18,158.76,75.73,196.1,1.48
2020-09-11,108.74,155.81,75.22,194.82,1.45
2020-09-14,112.0,155.15,74.88,196.14,1.46
2020-09-15,112.17,157.81,76.18,199.35,1.44
2020-09-16,108.86,153.9,75.04,195.79,1.44
2020-09-17,107.13,150.44,73.79,193.75,1.41
2020-09-18,103.73,147.75,72.01,191.34,1.36
2020-09-21,106.87,148.02,70.97,193.4,1.28
2020-09-22,108.55,156.45,72.44,198.06,1.25
2020-09-23,104.0,149.99,69.94,191.53,1.23
2020-09-24,105.07,150.99,70.61,194.02,1.24
2020-09-25,109.01,154.76,71.41,198.44,1.24
2020-09-28,111.61,158.7,72.39,199.98,1.33
2020-09-29,110.77,157.24,72.75,197.9,1.28
2020-09-30,112.44,157.44,72.73,200.83,1.28
2020-10-01,113.39,161.06,73.84,202.87,1.27
2020-10-02,109.73,156.25,72.23,196.88,1.27
2020-10-05,113.11,159.96,73.59,200.88,1.29
2020-10-06,109.86,155.0,72.01,196.61,1.37
2020-10-07,111.73,159.78,72.41,200.36,1.35
2020-10-08,111.62,159.53,73.62,201.07,1.38
2020-10-09,113.56,164.33,74.96,206.07,1.36
2020-10-12,120.78,172.15,77.64,211.4,1.34
2020-10-13,117.57,172.18,77.77,212.8,1.29
2020-10-14,117.66,168.19,77.59,210.89,1.3
2020-10-15,117.19,166.93,77.19,209.74,1.28
2020-10-16,115.55,163.64,77.8,209.74,1.32
2020-10-19,112.6,160.36,75.92,204.55,1.33
2020-10-20,114.09,160.85,76.97,204.96,1.36
2020-10-21,113.47,159.25,78.7,205.1,1.34
2020-10-22,112.38,158.82,79.73,205.19,1.35
2020-10-23,111.69,160.22,81.04,206.47,1.4
2020-10-26,111.7,160.35,78.62,200.6,1.38
2020-10-27,113.2,164.32,79.34,203.62,1.36
2020-10-28,107.96,158.14,74.97,193.53,1.32
2020-10-29,111.96,160.55,77.26,195.48,1.33
2020-10-30,105.69,151.81,80.2,193.33,1.37
2020-11-02,105.6,150.22,80.61,193.2,1.43
2020-11-03,107.22,152.42,81.67,197.11,1.49
2020-11-04,111.6,162.06,86.64,206.62,1.43
2020-11-05,115.56,166.1,87.46,213.21,1.47
2020-11-06,115.43,165.57,87.33,213.62,1.43
2020-11-09,113.13,157.19,87.41,208.53,1.71
2020-11-10,112.79,151.75,86.23,201.48,1.86
2020-11-11,116.21,156.87,86.71,206.77,1.88
2020-11-12,115.94,155.51,86.49,205.71,1.86
2020-11-13,115.99,156.44,87.95,206.74,1.91
2020-11-16,117.0,156.55,88.04,207.42,1.97
2020-11-17,116.11,156.78,87.42,204.78,1.98
2020-11-18,114.79,155.27,86.38,202.08,1.98
2020-11-19,115.38,155.85,87.27,203.36,1.95
2020-11-20,114.12,154.97,86.17,201.42,1.96
2020-11-23,110.72,154.92,85.73,201.15,1.97
2020-11-24,112.01,155.9,87.53,204.74,2.08
2020-11-25,112.84,159.25,87.55,204.75,2.06
2020-11-26,112.84,159.25,87.55,204.75,2.03
2020-11-27,113.39,159.77,88.68,206.05,2.06
2020-11-30,115.78,158.4,87.06,204.94,2.02
2020-12-01,119.35,161.0,89.09,206.99,2.14
2020-12-02,119.7,160.18,90.56,206.19,2.24
2020-12-03,119.56,159.34,90.41,205.1,2.27
2020-12-04,118.89,158.13,90.5,205.22,2.4
2020-12-07,120.35,157.9,90.17,205.15,2.28
2020-12-08,120.96,158.86,89.89,206.8,2.32
2020-12-09,118.44,155.21,88.23,202.77,2.28
2020-12-10,119.86,155.07,87.72,201.54,2.22
2020-12-11,119.05,155.82,88.07,204.17,2.16
2020-12-14,118.44,157.85,86.96,205.07,2.2
2020-12-15,124.37,158.26,87.39,205.0,2.26
2020-12-16,124.3,162.05,87.2,209.93,2.24
2020-12-17,125.17,161.8,86.37,210.06,2.25
2020-12-18,123.18,160.08,85.66,209.27,2.16
2020-12-21,124.71,160.31,86.08,213.1,2.05
2020-12-22,128.26,160.33,85.37,214.39,2.12
2020-12-23,127.36,159.26,85.76,211.59,2.19
2020-12-24,128.35,158.63,86.06,213.25,2.24
2020-12-28,132.94,164.2,88.03,215.37,2.17
2020-12-29,131.17,166.1,87.23,214.59,2.17
2020-12-30,130.05,164.29,86.16,212.23,2.16
2020-12-31,129.05,162.85,86.97,212.93,2.13
2021-01-04,125.86,159.33,85.66,208.41,2.15
2021-01-05,127.41,160.93,86.35,208.61,2.16
